model,params_B,family,prompt_id,angle,self_bleu,rouge_l,jaccard,tfidf_cosine,unique_ngram_ratio,embedding_cosine,semantic_entropy,vendi_score,template_adherence,response_length_cv,key_point_consistency,confidence_consistency,timeline_consistency,stochasticity_index
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P01,General overview,0.48941643885892505,0.32950369173502003,0.3050726259017395,0.4051382642069937,0.7220361687876758,0.8647463561345572,0.1316531837404644,0.05515990390409816,0.95,0.32041903496382834,0.10467351379345946,0.8421052631578947,0.75,0.3732932977283827
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P02,Medical diagnostics,0.47987413955499025,0.3613322151229226,0.3211116515183761,0.3463050317087705,0.7181548878544224,0.8895748128049688,-0.0,0.04266637425212241,0.95,0.22715272723206806,0.13689078566475688,0.8421052631578947,1.0,0.3326748434011793
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P03,Drug discovery,0.45904949945432855,0.30757900779111425,0.30500074880012307,0.43174768452334505,0.7306682229355121,0.8932904629623597,0.06626601619188213,0.04266315129928101,0.95,0.16829692452689338,0.16562830286341246,0.8421052631578947,1.0,0.338780735993497
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P04,Patient data privacy,0.48825588113336027,0.3810081543326051,0.34422188123556624,0.390511691551519,0.7014453477868112,0.8982956452347449,0.10851536242448849,0.03849750773329717,0.95,0.2624346978067015,0.17485455001543665,0.7894736842105263,1.0,0.3410935705420342
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P05,Rural healthcare access,0.5077512465013164,0.3999545153720079,0.3454319468584681,0.3586607365285892,0.6887052341597796,0.8944393048081091,0.1316531837404644,0.041070094913447965,1.0,0.21485452487487744,0.17493923470422792,0.7,1.0,0.34154508352964075
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P06,Mental health,0.5370101598429362,0.3867690487598377,0.33873603428085225,0.3731622889207543,0.6628710858072387,0.9009420157495538,-0.0,0.039427744117769094,1.0,0.21822656111139968,0.1762845561166267,0.75,0.6666666666666666,0.32858487237485273
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P07,Cost reduction,0.49255749040173935,0.3370052973921725,0.31337339134441944,0.40085657956273085,0.708602516150969,0.8838071257501203,0.17297480740342058,0.04519435430406992,1.0,0.2753452641475655,0.11618703253185453,0.75,1.0,0.36201428003502995
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P08,Robotic surgery,0.45744080348207206,0.3191057675848177,0.30116499938821006,0.3568766489057608,0.7429643527204502,0.907421998626604,-0.0,0.035970800262704244,0.85,0.24485363467761895,0.09163984390936303,0.7058823529411765,0.6666666666666666,0.36539366891421793
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P09,Personalized medicine,0.48554749173108086,0.3572467908240917,0.31389408053847,0.3693036993931726,0.7313008130081301,0.897407903535199,-0.0,0.04031191367668938,1.0,0.30450073543880124,0.2030051277502851,0.8,1.0,0.3300086317434093
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P10,Electronic health records,0.5106411938375224,0.369222982817284,0.3451960691021469,0.4234749345119547,0.698463737048946,0.9093468982512745,-0.0,0.03493083047256828,0.95,0.22087252908730753,0.14311862968403471,0.8947368421052632,0.5,0.33483028783057456
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P11,Clinical trials,0.4770388113468482,0.3464688785996857,0.310908347251263,0.41618887228855317,0.7286096256684492,0.8966614842561238,-0.0,0.040233354763592036,1.0,0.19504889695482536,0.13294761103110336,0.95,0.0,0.3609328429037122
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P12,Ethics,0.4359836994734952,0.29709441225124417,0.28986360502691655,0.36426888642068844,0.7446043165467626,0.8997330546872824,-0.0,0.03974014962429762,0.95,0.23128737056131257,0.16007974652684515,0.8421052631578947,0.7142857142857143,0.35299708777756783
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P13,Medical imaging,0.49997957908507473,0.35069807268098685,0.3072649821344534,0.32805118595522925,0.7130476649013,0.8785493929162201,0.18771208281295484,0.04629951203483466,1.0,0.28513429699260195,0.32594303680206377,0.65,0.75,0.3687793294746927
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P14,Elderly care,0.5582060463669165,0.3903597796949964,0.3375640638719067,0.3773974333107776,0.6671315667131567,0.8965632143179011,0.06626601619188213,0.03881502552974581,1.0,0.2781109344499056,0.5506146980562708,0.8,0.5,0.31863733298724267
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P15,Pandemic response,0.4209904321936421,0.28375070881142994,0.2860657503488014,0.4093940383182017,0.7588489208633094,0.8791420551874094,-0.0,0.049625609415729265,0.95,0.16863538430772923,0.19913799658993336,0.8947368421052632,0.8,0.3448156648442383
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P16,Medical education,0.4907725582336996,0.35383305367481527,0.3345202367376935,0.427170424265095,0.7012719147473359,0.908364080751771,-0.0,0.035783849763473756,0.95,0.2848913631314125,0.1462725953001424,0.9473684210526315,0.6,0.33639570791072076
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P17,Billing and insurance,0.5008319097450178,0.3748089903698159,0.321862093551961,0.40335579136996236,0.7176895306859206,0.8943420179817511,0.06626601619188213,0.040445364862193654,1.0,0.2775373230059125,0.15396837803000366,0.9,1.0,0.3315891640611203
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P18,Rare diseases,0.5222185373801957,0.3407620408096872,0.32915905433065656,0.39434057300667036,0.6835087719298245,0.8924861910325969,-0.0,0.04327642502759357,1.0,0.21575679416134924,0.15407360488214653,0.9,1.0,0.31743720256686214
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P19,Preventive care,0.6234889920938793,0.48936595275990885,0.3702679367902731,0.3921593672021846,0.5941658137154555,0.9343706431041937,-0.0,0.025485135034153523,1.0,0.22476404934586028,0.680592828856602,0.95,0.0,0.2831085852478216
Qwen/Qwen2.5-0.5B-Instruct,0.5,qwen2.5,P20,Regulatory challenges,0.41834660270552915,0.31108433239049343,0.29482377351039546,0.4121519889018558,0.7631144836687562,0.8906564597512296,0.06626601619188213,0.04316290120664079,0.9,0.2436293204584706,0.12127931322174924,0.8888888888888888,0.75,0.3648960830785169
Qwen/Qwen2.5-1.5B-Instruct,1.5,qwen2.5,P01,General overview,0.5209188780844946,0.38611204582337716,0.3373921605572738,0.3891683474333594,0.695321414986687,0.9005083875927168,-0.0,0.03778396148771239,1.0,0.1984052956253133,0.19934449007323968,1.0,0.5555555555555556,0.32237135456348537
Qwen/Qwen2.5-1.5B-Instruct,1.5,qwen2.5,P02,Medical diagnostics,0.5235725940368103,0.3791621373750495,0.33701514866462745,0.3343662729516261,0.6871358135365307,0.909481664820247,-0.0,0.0339802662771596,0.95,0.09359040928696422,0.2076288756327993,1.0,0.631578947368421,0.3172483329874751
Qwen/Qwen2.5-1.5B-Instruct,1.5,qwen2.5,P03,Drug discovery,0.5031299279102199,0.35922856974226497,0.3296536216330813,0.38768030413311194,0.7095797046573268,0.9229847348235661,-0.0,0.029078669405814998,1.0,0.1385220781007736,0.21306481965092094,1.0,0.75,0.3117608181310651
Qwen/Qwen2.5-1.5B-Instruct,1.5,qwen2.5,P04,Patient data privacy,0.500952467053281,0.3646672003269119,0.34246951850567836,0.3561933026910928,0.7147587511825922,0.9175368159098825,-0.0,0.03192263820826286,1.0,0.17093919253841336,0.2259398371818736,0.95,0.55,0.32509132620508857
